name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J085308+135254      	 -.-.-     	 UVES      	   1.113	    2182	    2534	   0.795	   1.085	     1	 49800	     0	 -                                                                                                   
J090910+012135      	 -.-.-     	 UVES      	   1.024	    2090	    2428	   0.719	   0.997	     3	 49800	     0	 -                                                                                                   
J091127+055054      	 -.-.-     	 UVES      	   2.798	    3922	    4556	   2.226	   2.747	    36	 49800	     0	 -                                                                                                   
J091613+070224      	 -.-.-     	 UVES      	   2.786	    3909	    4541	   2.216	   2.736	    78	 49800	     1	 +                                                                                                   
J092129-261843      	 -.-.-     	 UVES      	   2.300	    3407	    3958	   1.803	   2.256	    14	 49800	     0	 -                                                                                                   
J092221+084312      	 -.-.-     	 UVES      	   1.960	    3056	    3550	   1.514	   1.921	     6	 59800	     0	 -                                                                                                   
J092507+144425      	 -.-.-     	 UVES      	   0.895	    1957	    2273	   0.610	   0.870	     1	 49800	     0	 -                                                                                                   
J092913-021446      	 -.-.-     	 UVES      	   1.682	    2769	    3217	   1.278	   1.646	    24	 48300	     0	 -                                                                                                   
J093224+084008      	 -.-.-     	 UVES      	   2.317	    3425	    3979	   1.817	   2.273	     0	     0	     0	 -                                                                                                   
J093509-333237      	 -.-.-     	 UVES      	   2.906	    4033	    4685	   2.318	   2.854	    12	 49800	     0	 -                                                                                                   
J093518+020415      	 -.-.-     	 UVES      	   0.649	    1703	    1978	   0.401	   0.627	     3	 49800	     0	 -                                                                                                   
J094008+023209      	 -.-.-     	 UVES      	   3.218	    4355	    5059	   2.583	   3.162	     7	 49800	     0	 -                                                                                                   
J094253-110426      	 -.-.-     	 UVES      	   3.054	    4186	    4863	   2.443	   3.000	   249	 49800	     0	 +                                                                                                   
J094309+103400      	 -.-.-     	 UVES      	   1.238	    2311	    2684	   0.901	   1.208	     7	 41500	     0	 -                                                                                                   
